cell_idx,cell_name,Apelin signaling pathway,Axon guidance,B cell receptor signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,cAMP signaling pathway,Cardiac muscle contraction,Cellular senescence,Chemokine signaling pathway,Cholinergic synapse,ErbB signaling pathway,Estrogen signaling pathway,Focal adhesion,Gap junction,GnRH secretion,"Growth hormone synthesis, secretion and action",Insulin secretion,JAK-STAT signaling pathway,MAPK signaling pathway,Melanogenesis,Natural killer cell mediated cytotoxicity,Oxidative phosphorylation,Phospholipase D signaling pathway,PI3K-Akt signaling pathway,Protein digestion and absorption,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Serotonergic synapse,Signaling pathways regulating pluripotency of stem cells,Taste transduction,Th17 cell differentiation,Thermogenesis,Thyroid hormone signaling pathway,Wnt signaling pathway
0,DiFi,0.018781424,0.101386334,0.106636559,0.07502942,0.04989417,0.075844137,0.044730727,0.073445023,0.094133382,0.013739805,0.180776875,0.135111773,0.069728169,0.000709521,0.080891685,0.092233823,0.150888397,0.054733681,0.094641825,0.148030922,0.022903137,-0.063616132,0.130668707,0.073129492,0.088285755,0.108379462,0.080669445,0.076262313,0.052939405,0.062236755,0.005258087,0.040871566,0.117320191,0.014561364,0.019163081,0.076505078,0.150108236,0.184459459
1,HCE-4,0.135719205,0.181629746,0.034266331,0.092548149,0.089025292,0.07088282,-0.000200457,0.156177545,0.09253139,0.103292569,0.085758751,0.04215565,0.243125323,0.239531938,0.16052671,0.143717543,0.059535542,0.090669018,0.16262607,0.147427196,0.133179041,-0.065248808,0.150033043,0.149609723,0.189613826,0.148206084,0.128502529,0.120078621,0.046277293,0.184063071,0.076702937,0.115603055,0.157484022,0.131677665,0.11069382,0.052323149,0.176717496,0.226512033
2,K5,0.228527768,0.289234817,0.13684976,0.362369043,0.139029435,0.175943291,-0.060505099,0.245537222,0.198012742,0.16752897,0.376861559,0.168592282,0.336057213,0.158720804,0.141812896,0.27044203,0.091876745,0.229302032,0.247410545,0.169149173,0.22849303,0.023229219,0.284217598,0.211197582,-0.02690635,0.236145784,0.22217911,0.295786354,0.224102532,0.328010055,0.238671182,0.070793557,0.212990624,0.065733396,0.172919288,0.123241804,0.257652558,0.219970429
3,HLE,0.098208504,0.186114755,0.034440014,0.124329594,0.01220156,0.0790907,0.051204956,0.234201004,0.07456464,-0.01328619,0.119110605,0.036638862,0.210550552,0.231036433,0.087334639,0.072286087,-0.018854778,0.031030826,0.132962224,0.083747956,0.031205532,-0.00280291,0.065272774,0.103240061,-0.018364222,0.1669232,0.127212015,0.169992144,-0.013176006,0.120057447,0.120477326,0.031631933,0.168445658,0.013911313,0.021397717,0.082378843,0.153866903,0.140827479
4,BICR10,0.149389445,0.22081916,0.05896793,0.222319185,0.060631265,0.051759784,-0.021394294,0.24357334,0.060744585,0.043577443,0.213816582,0.151820069,0.287893052,0.231616799,0.055402779,0.134161228,-0.000557401,0.162248161,0.176700872,0.181004435,0.080209688,0.018090914,0.212075394,0.16781985,0.115506064,0.172326444,0.147433999,0.235762677,0.076535844,0.224698199,0.062812488,-0.054580566,0.213998989,-0.118710913,0.12441889,0.0999842,0.195650289,0.203413687
5,BICR31,0.140305885,0.233699639,0.166683491,0.200195683,0.110080976,0.136815068,0.141926342,0.165747578,0.20511777,0.03530214,0.186379452,0.287051522,0.301008741,0.121887349,-0.004798204,0.100627135,0.025434185,0.22448697,0.197850536,0.213690478,0.155785847,0.102789799,0.182246255,0.20397495,0.294722786,0.18033807,0.141139549,0.253206676,0.153394416,0.197419202,0.026244549,0.133600809,0.22771498,-0.0346557,0.223007152,0.049716609,0.16910903,0.19428866
6,SK-OV-3,0.195682611,0.247329085,0.117923318,0.154784632,0.01382148,0.117754874,0.076094342,0.209340616,0.078353807,0.054142619,0.236506664,0.170239221,0.277436109,0.244400476,0.165379307,0.160378278,-0.020092696,0.026715688,0.163992536,0.234307898,0.02678968,0.134096326,0.166359288,0.140025922,0.075370628,0.201000885,0.136952406,0.289494733,0.109253094,0.24119982,0.051907473,0.048857756,0.231835861,-0.189702339,0.052282509,0.157011385,0.250320196,0.155521284
7,SK-MEL-5,0.1512178,0.077820112,0.000577055,0.062061077,0.092459378,0.010080309,0.08599785,0.118108593,0.10775524,0.154927067,0.093434066,0.083832682,0.102170407,0.087628416,0.139030625,0.123880877,0.025159744,0.080797687,0.007792899,0.095101685,0.036042475,0.33808105,0.076004993,0.102672185,0.037154996,0.083483681,0.062707758,0.115114955,0.117178166,0.050760661,-0.005812682,0.063543725,0.079735444,-0.032715178,0.151894496,0.183306343,0.095019656,0.079886388
8,SK-MEL-28,0.164488596,0.156917478,0.036427363,0.108736999,0.106600813,0.073271154,0.045258539,0.110782786,0.148540861,0.214631456,0.10145808,0.228802382,0.153775693,0.168891952,0.145071008,0.180156261,0.130037803,0.092383073,-0.012261988,0.183359492,0.148701911,0.196925125,0.076464299,0.117024467,0.170763044,0.13154893,0.049959138,0.177274085,0.273384696,0.089814544,0.194431514,0.189475805,0.078984318,0.060664998,0.174035423,0.03759731,0.127145542,0.084678026
9,SK-MEL-2,0.12222422,0.025968952,0.003602713,0.065395313,0.007789868,-0.012683378,-0.091343701,0.088086795,0.05892214,0.117075354,0.055376816,0.107314851,0.09647413,0.0644835,0.06270927,0.067557919,-0.0235214,0.017744476,0.019710799,0.087385679,0.041781748,0.120967544,0.065866772,0.056179486,0.076825081,0.059656543,0.043048894,0.083862642,0.140496492,0.014012851,-0.01697767,0.003645012,0.05257117,0.014752898,0.021116206,0.048588271,0.13047294,0.029558756
10,SF539,0.148813276,0.209242953,-0.050647281,0.17839799,0.138617279,0.092628191,0.107034306,0.143092769,0.097940119,0.111106119,0.018709472,0.154398554,0.251706881,0.244894555,0.04908547,0.140809676,0.111521067,0.21141181,0.16151232,0.157083173,0.185200647,0.166785585,0.168529566,0.195722231,0.2567449,0.222698009,0.13337183,0.259646695,0.157434477,0.168229125,0.197500497,0.071107229,0.192945801,0.024356755,0.182186646,0.020157972,0.136965703,0.178942491
11,SF268,0.198075414,0.181189298,0.057061243,0.102286132,0.119890268,0.099446886,0.139774791,0.221674085,0.104680284,0.13009143,0.165767361,0.186935761,0.291995128,0.324209284,0.069652007,0.165825771,0.126947022,0.064936522,0.172284227,0.211347041,0.112278612,0.270559507,0.134432785,0.173954679,0.136743221,0.193976489,0.173916604,0.2640526,0.216767579,0.255238699,0.149965295,0.058462334,0.097641072,-0.063494777,0.101594698,0.22830288,0.251553529,0.128018415
12,RXF393,0.23278477,0.305498539,0.089984632,0.258776179,0.090143384,0.147008765,-0.098475501,0.159645071,0.161211483,0.215312014,0.153307992,0.193070367,0.293975379,0.264279215,0.293372791,0.27438385,0.181291398,0.186933413,0.198936892,0.175158721,0.120539932,-0.432288193,0.229908444,0.190543554,0.12134092,0.246143882,0.199377251,0.224586449,0.203636701,0.28221496,0.168015062,0.135179683,0.21114081,0.11906705,0.153267975,-0.066978736,0.123313182,0.157578412
13,RPMI-8226,0.105733172,-0.050590639,0.22175287,0.104895075,0.172133533,0.072674342,0.219290949,0.097052591,0.154312106,0.150486104,-0.060333659,0.145284403,-0.070843094,0.043254604,0.076690384,0.080268458,0.121828675,0.132547812,0.046837371,0.089739417,0.231754518,0.376076804,0.070206305,0.06154593,0.126082494,0.088541366,0.073509084,-0.033157032,0.139188051,0.020512628,0.120013168,0.125032389,-0.024045336,0.119356127,0.117274435,0.254547198,0.025271237,0.024227064
14,PC-3,0.076484866,0.244594331,-0.059116657,0.036724824,0.175998555,0.126397742,0.199771102,0.018157138,0.117704721,0.037020622,-0.024863134,0.1837167,0.224673452,0.197515546,0.030253012,0.001898611,0.154525914,0.21861946,0.091996979,0.135932853,0.14129771,0.169665192,0.128193511,0.192893876,0.244429043,0.139215456,0.099137599,0.187967491,0.152775292,0.077010772,0.206120645,0.158332943,0.077325867,0.179283618,0.006419962,0.057488757,0.011440056,0.07959872
15,OVCAR-8,0.217831205,0.186184275,0.083959695,0.0821089,0.096766023,0.105332984,0.182193252,0.219691619,0.112596516,0.174943235,0.210136265,0.170472517,0.26404139,0.294057087,0.184400225,0.143278995,0.138191639,-0.014683486,0.14209314,0.194997637,0.075702693,0.331682309,0.131785965,0.18194038,-0.066100637,0.235613039,0.168320133,0.258797597,0.19551103,0.236484906,0.128994731,0.107311557,0.113906314,-0.094235417,0.062772618,0.262439626,0.180365606,0.151289554
16,OVCAR-4,0.152630219,0.127456533,0.023978071,0.011339141,0.13667475,0.100987094,0.355213825,0.101022179,0.107497627,0.059243235,0.012451391,0.145604411,0.220923845,0.144795445,-0.040304665,0.024166174,0.105000703,0.112540947,0.081515623,0.144196693,0.082712891,0.347972286,0.033342901,0.174995822,0.249315076,0.138501546,0.075832795,0.245625112,0.146674001,0.101973163,0.12287411,0.08870995,0.100548502,0.043116058,-0.009877662,0.174553999,0.025970025,0.165192627
17,SN12C,0.190113092,0.150809639,0.052942726,0.183563452,0.0809962,0.115087581,-0.003746602,0.325561505,0.134257535,0.085938479,0.133565932,0.193538448,0.286073023,0.218653108,0.133517143,0.154779618,0.062955569,0.074096712,0.157447769,0.120442815,0.065334834,-0.04545574,0.117720693,0.141990163,-0.011113565,0.206848396,0.153814378,0.230669407,0.142673877,0.168307226,0.216634894,0.0403266,0.085563818,-0.011758846,0.131056193,0.0386994,0.190328086,0.117289454
18,SNB75,0.232798043,0.308769608,0.027282322,0.208214801,0.160046723,0.127878364,0.001275708,0.24426449,0.139720744,0.233348266,0.175964777,0.199344543,0.355514689,0.350381918,0.185769815,0.227360094,0.116212301,0.116268191,0.206046136,0.273921929,0.128693707,0.069328169,0.187534248,0.228002758,0.215068355,0.263521686,0.170511699,0.322162964,0.211627709,0.299317736,0.221728587,0.095876799,0.150453327,-0.018171312,0.120642374,0.083207406,0.25312095,0.174426455
